LP001002,1,0,0,1,0,5849,0,0,360,1,1,1
LP001003,1,1,1,1,0,4583,1508,128,360,1,0,0
LP001005,1,1,0,1,1,3000,0,66,360,1,1,0
LP001006,1,1,0,0,0,2583,2358,120,360,1,1,1
LP001008,1,0,0,1,0,6000,0,141,360,1,1,0
LP001011,1,1,2,1,1,5417,4196,267,360,1,1,1
LP001013,1,1,0,0,0,2333,1516,95,360,1,1,1
LP001014,1,1,3,1,0,3036,2504,158,360,0,0,0
LP001018,1,1,2,1,0,4006,1526,168,360,1,1,1
LP001020,1,1,1,1,0,12841,10968,349,360,1,0,1
LP001024,1,1,2,1,0,3200,700,70,360,1,1,1
LP001027,1,1,2,1,0,2500,1840,109,360,1,1,0
LP001028,1,1,2,1,0,3073,8106,200,360,1,1,1
LP001029,1,0,0,1,0,1853,2840,114,360,1,0,1
LP001030,1,1,2,1,0,1299,1086,17,120,1,1,0
LP002974,1,1,0,1,0,3232,1950,108,360,1,0,1
LP002978,0,0,0,1,0,2900,0,71,360,1,0,0
LP002979,1,1,3,1,0,4106,0,40,180,1,0,0
LP002983,1,1,1,1,0,8072,240,253,360,1,1,1
LP002984,1,1,2,1,0,7583,0,187,360,1,1,1
LP002990,0,0,0,1,1,4583,0,133,360,0,0,0
LP001392,0,0,1,1,1,7451,0,0,360,1,0,1
LP001398,1,0,0,1,0,5050,0,118,360,1,0,1
LP001401,1,1,1,1,0,14583,0,185,180,1,0,1
LP001404,0,1,0,1,0,3167,2283,154,360,1,0,1
LP001405,1,1,1,1,0,2214,1398,85,360,0,1,1
LP001421,1,1,0,1,0,5568,2142,175,360,1,0,0
LP001422,0,0,0,1,0,10408,0,259,360,1,1,1
LP001426,1,1,0,1,0,5667,2667,180,360,1,0,1
LP001430,0,0,0,1,0,4166,0,44,360,1,0,1
LP001431,0,0,0,1,0,2137,8980,137,360,0,0,0
LP001432,1,1,2,1,0,2957,0,81,360,1,0,1
LP001439,1,1,0,0,0,4300,2014,194,360,1,0,1
LP001443,0,0,0,1,0,3692,0,93,360,0,0,1
LP001448,0,1,3,1,0,23803,0,370,360,1,0,1
LP001449,1,0,0,1,0,3865,1640,0,360,1,0,0
LP001465,1,1,0,1,0,6080,2569,182,360,0,0,1
LP001469,1,0,0,1,1,20166,0,650,480,0,1,1
LP001473,1,0,0,1,0,2014,1929,74,360,1,1,0
LP001478,1,0,0,1,0,2718,0,70,360,1,0,0
